   2.0000000000000000       0.35328721788194445        7.8061766933728086E-004	   2.0000000000000000       0.35526367187499980        5.4428331382331229E-004	   1.7000000000000000       0.26909194946289072        2.9682706944842834E-004	   1.5000000000000000       0.17219227684868707        1.8549801811061544E-004
   1.9099999999999999       0.32829996744791667        1.2135801871604878E-003	   1.9399999999999999       0.34028211805555542        5.3699118986874639E-004	   1.6650000000000000       0.25508392333984370        2.5478481155174262E-004	   1.4850000000000001       0.16236171722412110        1.7427870688598151E-004
   1.8200000000000001       0.30306532118055557        1.0380902783601524E-003	   1.8799999999999999       0.32550821940104185        5.3294439425213684E-004	   1.6299999999999999       0.24078777737087670        4.0435477734735613E-004	   1.4700000000000000       0.15205793592664926        1.7911805050969999E-004
   1.7300000000000000       0.26849527994791667        1.3978300384759649E-003	   1.8200000000000001       0.30883850097656246        1.0860986670890788E-003	   1.5950000000000000       0.22496897379557279        3.3558555331907438E-004	   1.4550000000000001       0.14109984927707250        2.2178970844366334E-004
   1.6400000000000001       0.22694091796874999        1.8017894981986833E-003	   1.7600000000000000       0.29034952799479180        6.4633302173503447E-004	   1.5600000000000001       0.20686270819769972        2.9428915352445719E-004	   1.4399999999999999       0.12907675425211582        2.2201966927521525E-004
   1.5500000000000000       0.17064507378472218        1.4257658311334917E-003	   1.7000000000000000       0.26947523328993050        6.4352363669170360E-004	   1.5249999999999999       0.18713099161783858        3.9890197633286640E-004	   1.4250000000000000       0.11662144978841145        2.6381593126181742E-004
   1.4600000000000000        9.4297417534722261E-002   2.2218420224433539E-003	   1.6400000000000001       0.24474609375000006        5.1651817269353156E-004	   1.4900000000000000       0.16570482042100707        3.6614142718872808E-004	   1.4099999999999999       0.10302954355875657        2.0441315704188993E-004
   1.3700000000000001       -1.7670084635416656E-002   1.6289370230788236E-003	   1.5800000000000001       0.21623196072048617        1.3196496752765983E-003	   1.4550000000000001       0.14065314398871534        3.9607399434913335E-004	   1.3950000000000000        8.8047760857476162E-002   2.4467265911593737E-004
   1.2800000000000000      -0.14844184027777776        2.0928776366220783E-003	   1.5200000000000000       0.18243930392795138        1.2682411489342100E-003	   1.4199999999999999       0.11165690104166660        3.2636493345081393E-004	   1.3799999999999999        7.2059449089898031E-002   2.8654093641517820E-004
   1.1899999999999999      -0.27981743706597217        2.1971432442895677E-003	   1.4600000000000000       0.13703063964843759        8.1070452178124796E-004	   1.3850000000000000        7.5576137966579887E-002   3.2438369577805494E-004	   1.3650000000000000        5.5345861646864149E-002   2.7745712761750532E-004
   1.1000000000000001      -0.39216769748263886        2.1570045412327337E-003	   1.3999999999999999        7.6737467447916666E-002   1.1518438525700207E-003	   1.3500000000000001        2.8560655381944453E-002   5.3777731666179165E-004	   1.3500000000000001        3.5059178670247403E-002   3.7743605698104942E-004
   1.0100000000000000      -0.47993353949652767        1.0033727931738558E-003	   1.3400000000000001       -1.5205891927083338E-002   1.0770915585259920E-003	   1.3149999999999999       -3.7451137966579867E-002   7.4448518597719396E-004	   1.3350000000000000        1.2556538052029083E-002   3.4957500980513140E-004
  0.91999999999999993      -0.55651638454861141        9.4009582868809498E-004	   1.2800000000000000      -0.13007982042100699        9.3333138013202148E-004	   1.2800000000000000      -0.12176086425781246        7.2732079271290296E-004	   1.3200000000000001       -1.4155968560112852E-002   3.6144690048742532E-004
  0.82999999999999985      -0.61676757812499994        5.0606526207836128E-004	   1.2200000000000000      -0.23485785590277777        1.3833547910943056E-003	   1.2450000000000001      -0.19243562486436630        5.9107455902663241E-004	   1.3049999999999999       -4.9483032226562487E-002   5.1231604487329537E-004
  0.73999999999999999      -0.66545518663194414        8.4299357525826984E-004	   1.1599999999999999      -0.32064019097222235        7.1596178800291128E-004	   1.2100000000000000      -0.25075174967447911        4.0639638107838592E-004	   1.2900000000000000       -9.0321595933702287E-002   4.2426718141573859E-004
  0.64999999999999991      -0.70179226345486112        5.1178420112943412E-004	   1.1000000000000001      -0.39202297634548616        7.4664105497279903E-004	   1.1749999999999998      -0.30125688340928825        3.6347408136915693E-004	   1.2749999999999999      -0.12977915869818787        5.8028499484618658E-004
  0.56000000000000005      -0.72763454861111088        2.7508757510118242E-004	   1.0400000000000000      -0.45286763509114597        5.4809410182178012E-004	   1.1400000000000001      -0.34551300048828110        5.8400799676075596E-004	   1.2600000000000000      -0.16399443308512376        2.5483497836211317E-004
  0.46999999999999997      -0.74168782552083323        1.3977633889563073E-004	  0.97999999999999998      -0.50719740125868029        5.4346038643135160E-004	   1.1050000000000000      -0.38585028754340289        3.1441284696628760E-004	   1.2450000000000001      -0.19325098673502603        2.9201353721231222E-004
  0.38000000000000012      -0.74795627170138901        6.4992351325100390E-005	  0.92000000000000015      -0.55474148220486119        7.2138998146150388E-004	   1.0699999999999998      -0.42305538601345472        2.3137964378838155E-004	   1.2300000000000000      -0.21929631974962011        2.9362872103185563E-004
  0.28999999999999981      -0.74975640190972159        3.1029002208753285E-005	  0.85999999999999988      -0.59729227701822907        2.8812083093991122E-004	   1.0350000000000001      -0.45762295193142355        2.8088461741841275E-004	   1.2149999999999999      -0.24359967549641928        2.2021073549930933E-004
