   1.0000000000000000        1.9130309154369207        1.9765724348539085E-002	   1.0000000000000000        2.1911391601562493        3.5563680410478235E-002	   1.0000000000000000        2.2056584873905889        3.7237133611836060E-002	  0.80000000000000004        6.0629892312155809        6.6899810153495068E-002
  0.95499999999999996        2.1697943367328385        2.2962400379867361E-002	  0.95499999999999996        2.5456115308417258        3.9738978958182132E-002	  0.95499999999999996        2.6233802782095323        4.5034878604756252E-002	  0.77000000000000002        7.7817502455277907       0.14209848559252214     
  0.91000000000000003        2.6060367222476608        4.0255527137013171E-002	  0.91000000000000003        3.0954096271295990        6.2410610092709463E-002	  0.91000000000000003        3.2100187892393732        7.5659046676705421E-002	  0.73999999999999999        10.819820718125657       0.18288635428584796     
  0.86499999999999999        3.2302524992138992        2.7741405392519437E-002	  0.86499999999999999        3.8876915544801034        7.7896212862393149E-002	  0.86499999999999999        3.9439883200062131        4.8632918916097528E-002	  0.71000000000000008        17.402785159027950       0.27576877612665818     
  0.82000000000000006        4.0191402611047602        4.4968501138869410E-002	  0.82000000000000006        5.1848767067789501       0.10582806278638894     	  0.82000000000000006        5.0870614510995376        8.3052573689264761E-002	  0.68000000000000005        50.317905472358575        1.0139915235099630     
  0.77500000000000002        5.1935508139187556        3.9797857308504096E-002	  0.77500000000000002        6.9585415120734364        8.7967267575180016E-002	  0.77500000000000002        7.2070626615936755       0.11021843383280197     	  0.65000000000000002        54.411064540504398        4.0897362203893293     
  0.72999999999999998        6.9837701357179087        5.7055021911140501E-002	  0.72999999999999998        11.539604480420198       0.14508217969784232     	  0.72999999999999998        12.548100529268632       0.15791057126257138     	  0.62000000000000000        3.7658603636310102        4.5909366129490120E-002
  0.68500000000000005        9.0175024341460563        7.0811412043249991E-002	  0.68500000000000005        23.647925438304700       0.17024300739810660     	  0.68500000000000005        36.300925614892492       0.66712667670153170     	  0.58999999999999997        1.2746792589128659        1.3828140823982787E-002
  0.64000000000000001        9.4606088850233334       0.17492011837399937     	  0.64000000000000001        21.308853276570634       0.60531758913120193     	  0.64000000000000001        17.712468175534859        1.2641495459806218     	  0.56000000000000005       0.55251810336241103        7.1771381358532249E-003
  0.59499999999999997        6.7030376169565038       0.17837988615253175     	  0.59499999999999997        2.0029744048226981       0.18744636309551441     	  0.59499999999999997        1.4926479013100538        3.1760487991348660E-002	  0.53000000000000003       0.29218904160680614        4.0329882870551370E-003
  0.55000000000000004        3.0279121784248741       0.23637573374843782     	  0.55000000000000004       0.43806335654724171        1.5347901141906895E-002	  0.55000000000000004       0.43508398601904963        1.1233743407563947E-002	  0.50000000000000000       0.16076192333077113        4.3747922393407527E-003
  0.50500000000000000       0.75649204568894302       0.18522787105843841     	  0.50500000000000000       0.18074592167875561        4.4214092905029874E-003	  0.50500000000000000       0.18002297066051284        2.8582391667921576E-003	  0.46999999999999997        9.6570022017881174E-002   1.6424050684536694E-003
  0.45999999999999996        8.3245682524405021E-002   6.2082668502729801E-003	  0.45999999999999996       0.18768480088975939       0.10535424841599186     	  0.45999999999999996        8.5558808061044239E-002   1.0296856070463004E-003	  0.44000000000000000        5.8132697596687245E-002   8.8590456991608521E-004
  0.41499999999999992       0.16393222630103640       0.12465860275163716     	  0.41499999999999992       0.48235199369526610       0.40523936473950811     	  0.41499999999999992        1.3310462594191623        1.2912157194830736     	  0.41000000000000003        18.840177008776053        18.801975989252085     
  0.37000000000000000       0.36027927341403676       0.34115335882420023     	  0.37000000000000000        3.1871061735563672E-002   7.0405745356268146E-004	  0.37000000000000000        2.7464993985684916E-002   3.8042607412843446E-004	  0.37999999999999995        3.1575748376679001E-002   4.7993268722789159E-004
  0.32499999999999996       0.17708222044159572       0.15807436928218940     	  0.32499999999999996        1.3373480902777785E-002   3.1878267012741145E-004	  0.32499999999999996        1.1016920475538644E-002   2.2215901018354881E-004	  0.34999999999999998        1.7113183238518934E-002   5.7095848567194211E-004
  0.28000000000000003        8.4449727699239391E-003   4.3065183989206583E-004	  0.28000000000000003        6.3883221338665664E-003   1.7470563876239412E-004	  0.28000000000000003        4.0978648675181889E-003   6.0684265294244869E-005	  0.31999999999999995        8.8117767263341806E-003   1.2657382036629586E-004
  0.23499999999999999        2.3598721311071710E-003   1.5332930944364219E-004	  0.23499999999999999        2.2818009998029965E-003   7.3641619561791772E-005	  0.23499999999999999        1.6495965427071020E-003   4.6986194240161540E-005	  0.29000000000000004        4.4512260310342333E-003   9.4948796662211541E-005
  0.19000000000000006        4.2303431103801146E-004   6.5895945635843683E-005	  0.19000000000000006        3.9351613898026280E-004   3.9801661220739350E-005	  0.19000000000000006        3.5910801580774868E-004   1.1497074002431524E-005	  0.26000000000000001        2.1454808379170564E-003   4.1403019627823038E-005
  0.14499999999999991        2.2262631704980854E-005   1.6112509891012965E-005	  0.14499999999999991        2.2231451548531308E-005   6.2845324424790864E-006	  0.14499999999999991        2.2192476352969372E-005   3.3223458300269974E-006	  0.22999999999999998        9.6630520290798630E-004   2.0534761011847387E-005
